Geographic region,Gender Equality Index,Work,Money,Knowledge,Time,Power,Health
Austria,63.3,76.1,85.9,63.2,61.2,34.9,91.7
Belgium,70.5,73.8,87.5,71.1,65.3,53.4,86.3
Bulgaria,58,68.6,61.9,53.3,42.7,56,76.4
Cyprus,55.1,70.7,79.2,58.5,51.3,24.7,88.2
Czechia,53.6,66.1,75.9,57.3,57.3,22.6,86
Germany,65.5,71.4,84.2,52.9,65,53,90.5
Denmark,76.8,79.2,86.6,73.6,83.1,61.5,89.6
Estonia,56.7,72.1,66.7,53.2,74.7,28.2,81.5
Greece,50,64.2,70.7,55.6,44.7,21.7,83.1
Spain,68.3,72.4,75.9,65.3,64,57,89.6
European Union,65.7,70.6,80.1,62.4,64.9,48.4,87.1
Finland,73,74.7,86.4,61.3,77.4,65.3,89.7
France,72.6,72.1,86.1,66.1,67.3,68.2,87.1
Croatia,53.1,69.4,69.9,49.8,51,28.5,83.3
Hungary,50.8,67.2,70.7,56.9,54.3,18.7,86
Ireland,69.5,73.9,84.7,66.4,74.2,48.6,90.6
Italy,62.1,62.4,78.6,61.4,59.3,45.3,86.3
Lithuania,56.8,73.2,65.6,55.8,50.6,36.6,79.1
Luxembourg,69,74,94.4,69.4,69.1,43.5,89
Latvia,57.9,73.6,64.3,48.9,65.8,39,78.4
Malta,60.1,71,82.4,65.2,64.2,27.4,91.8
Netherlands,72.9,76.7,86.8,67.3,83.9,52.9,89.9
Poland,56.8,66.8,73.3,56,52.5,35.1,82.2
Portugal,56,72,70.9,54.8,47.5,33.9,83.6
Romania,52.4,67.1,59.4,51.8,50.3,33.2,70.4
Sweden,82.6,82.6,87.5,72.8,90.1,79.5,94.1
Slovenia,68.4,71.8,81.6,55,72.9,60.6,87.7
Slovakia,52.4,65.5,74,60,46.3,23.1,85.3
