Geographic region,Gender Equality Index,Work,Money,Knowledge,Time,Power,Health
Austria,65.3,76.6,86.4,64.1,61.2,39.9,91.7
Belgium,71.1,74.1,88.3,71.3,65.3,55.2,86.3
Bulgaria,58.8,69,61.8,53.2,42.7,59.9,77.1
Cyprus,56.3,70.7,80.8,56.5,51.3,28.2,88.4
Czechia,55.7,67,76.7,59,57.3,26.1,86.3
Germany,66.9,72.1,86,53.7,65,56.6,90.5
Denmark,77.5,79.6,87.1,72.3,83.1,64.9,89.9
Estonia,59.8,71.5,69.4,55.5,74.7,34.6,81.9
Greece,51.2,64.2,71.4,55.7,44.7,24.3,83.5
Spain,70.1,72.9,76.7,67.4,64,62,90.1
European Union,66.9,71.1,81.1,62.6,64.9,51.6,87.8
Finland,73.4,74.9,87.6,61.1,77.4,66.7,89.7
France,74.6,72.4,86.4,66,67.3,78.3,87.4
Croatia,55.6,69.2,72.2,50.4,51,34.8,83.7
Hungary,51.9,67.4,71.6,56.9,54.3,20.6,86.6
Ireland,71.3,75.5,85.5,66.9,74.2,53.4,90.9
Italy,63,63.1,78.8,61.2,59.3,47.6,88.7
Lithuania,55.5,73.6,64.7,55.9,50.6,32.5,79.8
Luxembourg,69.2,74.1,91.8,69.5,69.1,44.8,89.6
Latvia,59.7,74.2,65.5,49.7,65.8,44.1,78.3
Malta,62.5,73.3,82.5,65.8,64.2,32.2,92.1
Netherlands,72.1,77.4,86.7,67.1,83.9,50,90
Poland,55.2,67,75.1,56.5,52.5,29.1,83.2
Portugal,59.9,72.5,72.1,55.1,47.5,46.7,84.5
Romania,54.5,67.7,62,51.5,50.3,38.8,71.1
Sweden,83.6,83,86.8,73.8,90.1,83.4,94.7
Slovenia,68.3,73.3,82.4,56,72.9,57.6,87.1
Slovakia,54.1,66.5,74.2,60.4,46.3,26.8,85.8
